Page,IliadLine
urn:cite2:hmt:msApages.v1:27r,urn:cts:greekLit:tlg0012.tlg001.msA:2.142
urn:cite2:hmt:msApages.v1:27r,urn:cts:greekLit:tlg0012.tlg001.msA:2.157
urn:cite2:hmt:msApages.v1:27v,urn:cts:greekLit:tlg0012.tlg001.msA:2.166
urn:cite2:hmt:msApages.v1:27v,urn:cts:greekLit:tlg0012.tlg001.msA:2.173
urn:cite2:hmt:msApages.v1:27v,urn:cts:greekLit:tlg0012.tlg001.msA:2.182
urn:cite2:hmt:msApages.v1:28r,urn:cts:greekLit:tlg0012.tlg001.msA:2.190
urn:cite2:hmt:msApages.v1:28r,urn:cts:greekLit:tlg0012.tlg001.msA:2.200
urn:cite2:hmt:msApages.v1:28r,urn:cts:greekLit:tlg0012.tlg001.msA:2.207
urn:cite2:hmt:msApages.v1:28v,urn:cts:greekLit:tlg0012.tlg001.msA:2.225
urn:cite2:hmt:msApages.v1:29r,urn:cts:greekLit:tlg0012.tlg001.msA:2.243
urn:cite2:hmt:msApages.v1:29v,urn:cts:greekLit:tlg0012.tlg001.msA:2.266
urn:cite2:hmt:msApages.v1:29v,urn:cts:greekLit:tlg0012.tlg001.msA:2.278
urn:cite2:hmt:msApages.v1:29v,urn:cts:greekLit:tlg0012.tlg001.msA:2.284
urn:cite2:hmt:msApages.v1:30r,urn:cts:greekLit:tlg0012.tlg001.msA:2.291
urn:cite2:hmt:msApages.v1:30r,urn:cts:greekLit:tlg0012.tlg001.msA:2.299
urn:cite2:hmt:msApages.v1:30v,urn:cts:greekLit:tlg0012.tlg001.msA:2.319
urn:cite2:hmt:msApages.v1:30v,urn:cts:greekLit:tlg0012.tlg001.msA:2.323
urn:cite2:hmt:msApages.v1:30v,urn:cts:greekLit:tlg0012.tlg001.msA:2.333
urn:cite2:hmt:msApages.v1:30v,urn:cts:greekLit:tlg0012.tlg001.msA:2.337
urn:cite2:hmt:msApages.v1:31v,urn:cts:greekLit:tlg0012.tlg001.msA:2.369
urn:cite2:hmt:msApages.v1:32r,urn:cts:greekLit:tlg0012.tlg001.msA:2.394
urn:cite2:hmt:msApages.v1:32r,urn:cts:greekLit:tlg0012.tlg001.msA:2.412
urn:cite2:hmt:msApages.v1:32v,urn:cts:greekLit:tlg0012.tlg001.msA:2.419
urn:cite2:hmt:msApages.v1:32v,urn:cts:greekLit:tlg0012.tlg001.msA:2.434
urn:cite2:hmt:msApages.v1:33r,urn:cts:greekLit:tlg0012.tlg001.msA:2.441
urn:cite2:hmt:msApages.v1:33r,urn:cts:greekLit:tlg0012.tlg001.msA:2.455
urn:cite2:hmt:msApages.v1:33r,urn:cts:greekLit:tlg0012.tlg001.msA:2.459
urn:cite2:hmt:msApages.v1:33v,urn:cts:greekLit:tlg0012.tlg001.msA:2.469
urn:cite2:hmt:msApages.v1:33v,urn:cts:greekLit:tlg0012.tlg001.msA:2.479
urn:cite2:hmt:msApages.v1:33v,urn:cts:greekLit:tlg0012.tlg001.msA:2.480
urn:cite2:hmt:msApages.v1:33v,urn:cts:greekLit:tlg0012.tlg001.msA:2.484
urn:cite2:hmt:msApages.v1:34r,urn:cts:greekLit:tlg0012.tlg001.msA:2.508
urn:cite2:hmt:msApages.v1:34v,urn:cts:greekLit:tlg0012.tlg001.msA:2.516
urn:cite2:hmt:msApages.v1:34v,urn:cts:greekLit:tlg0012.tlg001.msA:2.536
urn:cite2:hmt:msApages.v1:35r,urn:cts:greekLit:tlg0012.tlg001.msA:2.546
urn:cite2:hmt:msApages.v1:35r,urn:cts:greekLit:tlg0012.tlg001.msA:2.557
urn:cite2:hmt:msApages.v1:35r,urn:cts:greekLit:tlg0012.tlg001.msA:2.559
urn:cite2:hmt:msApages.v1:35v,urn:cts:greekLit:tlg0012.tlg001.msA:2.569
urn:cite2:hmt:msApages.v1:35v,urn:cts:greekLit:tlg0012.tlg001.msA:2.591
urn:cite2:hmt:msApages.v1:36r,urn:cts:greekLit:tlg0012.tlg001.msA:2.615
urn:cite2:hmt:msApages.v1:36v,urn:cts:greekLit:tlg0012.tlg001.msA:2.638
urn:cite2:hmt:msApages.v1:37r,urn:cts:greekLit:tlg0012.tlg001.msA:2.645
urn:cite2:hmt:msApages.v1:37r,urn:cts:greekLit:tlg0012.tlg001.msA:2.653
urn:cite2:hmt:msApages.v1:37v,urn:cts:greekLit:tlg0012.tlg001.msA:2.671
urn:cite2:hmt:msApages.v1:37v,urn:cts:greekLit:tlg0012.tlg001.msA:2.676
urn:cite2:hmt:msApages.v1:37v,urn:cts:greekLit:tlg0012.tlg001.msA:2.677
urn:cite2:hmt:msApages.v1:37v,urn:cts:greekLit:tlg0012.tlg001.msA:2.681
urn:cite2:hmt:msApages.v1:38r,urn:cts:greekLit:tlg0012.tlg001.msA:2.695
urn:cite2:hmt:msApages.v1:38r,urn:cts:greekLit:tlg0012.tlg001.msA:2.711
urn:cite2:hmt:msApages.v1:38r,urn:cts:greekLit:tlg0012.tlg001.msA:2.716
urn:cite2:hmt:msApages.v1:38v,urn:cts:greekLit:tlg0012.tlg001.msA:2.729
urn:cite2:hmt:msApages.v1:39r,urn:cts:greekLit:tlg0012.tlg001.msA:2.748
urn:cite2:hmt:msApages.v1:39r,urn:cts:greekLit:tlg0012.tlg001.msA:2.756
urn:cite2:hmt:msApages.v1:39r,urn:cts:greekLit:tlg0012.tlg001.msA:2.760
urn:cite2:hmt:msApages.v1:39v,urn:cts:greekLit:tlg0012.tlg001.msA:2.780
urn:cite2:hmt:msApages.v1:40r,urn:cts:greekLit:tlg0012.tlg001.msA:2.796
urn:cite2:hmt:msApages.v1:40r,urn:cts:greekLit:tlg0012.tlg001.msA:2.807
urn:cite2:hmt:msApages.v1:40r,urn:cts:greekLit:tlg0012.tlg001.msA:2.811
urn:cite2:hmt:msApages.v1:40v,urn:cts:greekLit:tlg0012.tlg001.msA:2.819
urn:cite2:hmt:msApages.v1:40v,urn:cts:greekLit:tlg0012.tlg001.msA:2.824
urn:cite2:hmt:msApages.v1:40v,urn:cts:greekLit:tlg0012.tlg001.msA:2.828
urn:cite2:hmt:msApages.v1:40v,urn:cts:greekLit:tlg0012.tlg001.msA:2.835
urn:cite2:hmt:msApages.v1:41r,urn:cts:greekLit:tlg0012.tlg001.msA:2.844
urn:cite2:hmt:msApages.v1:41r,urn:cts:greekLit:tlg0012.tlg001.msA:2.846
urn:cite2:hmt:msApages.v1:41r,urn:cts:greekLit:tlg0012.tlg001.msA:2.848
urn:cite2:hmt:msApages.v1:41r,urn:cts:greekLit:tlg0012.tlg001.msA:2.851
urn:cite2:hmt:msApages.v1:41r,urn:cts:greekLit:tlg0012.tlg001.msA:2.856
urn:cite2:hmt:msApages.v1:41r,urn:cts:greekLit:tlg0012.tlg001.msA:2.858
